current_pid,cpu_percentage,duration_in_seconds
159297,0.0,0.0610
159296,0.0,0.0684
159294,0.0,0.0710
159301,0.0,0.0701
159298,0.0,0.0723
159302,0.0,0.0733
159303,0.0,0.0736
159295,0.0,0.0759
159299,0.0,0.0780
159300,0.0,0.0785
159296,0.0,0.0561
159298,0.0,0.0523
159301,0.0,0.0581
159302,0.0,0.0562
159295,0.0,0.0580
159297,0.0,0.0738
159300,0.0,0.0605
159294,0.0,0.0723
159303,0.0,0.0794
159299,0.0,0.0822
159296,0.0,0.0459
159297,0.0,0.0479
159301,0.0,0.0542
159298,0.0,0.0599
159302,0.0,0.0634
159295,0.0,0.0675
159294,0.0,0.0590
159303,0.0,0.0593
159296,0.0,0.0472
159299,0.0,0.0609
159300,0.0,0.0811
159301,0.0,0.0549
159298,0.0,0.0603
159302,0.0,0.0557
159297,0.0,0.0702
159296,0.0,0.0458
159299,0.0,0.0487
159303,0.0,0.0561
159294,0.0,0.0694
159295,0.0,0.0710
159300,0.0,0.0614
159301,0.0,0.0513
159298,0.0,0.0525
159302,0.0,0.0531
159296,0.0,0.0472
159299,0.0,0.0497
159297,0.0,0.0681
159303,0.0,0.0605
159294,0.0,0.0562
159300,0.0,0.0606
159301,0.0,0.0551
159295,0.0,0.0805
159296,0.0,0.0478
159302,0.0,0.0564
159298,0.0,0.0600
159299,0.0,0.0573
159297,0.0,0.0613
159303,0.0,0.0591
159294,0.0,0.0591
159301,0.0,0.0587
159296,0.0,0.0484
159298,0.0,0.0536
159300,0.0,0.0711
159295,0.0,0.0645
159302,0.0,0.0656
159299,0.0,0.0573
159303,0.0,0.0551
159297,0.0,0.0610
159294,0.0,0.0566
159301,0.0,0.0546
159296,0.0,0.0540
159298,0.0,0.0486
159295,0.0,0.0613
159302,0.0,0.0673
159300,0.0,0.0875
159303,0.0,0.0535
159297,0.0,0.0579
159294,0.0,0.0593
159299,0.0,0.0825
159296,0.0,0.0573
159301,0.0,0.0682
159298,0.0,0.0670
159295,0.0,0.0557
159302,0.0,0.0502
159299,0.0,0.0494
159294,0.0,0.0570
159300,0.0,0.0683
159296,0.0,0.0592
159298,0.0,0.0507
159303,0.0,0.0746
159301,0.0,0.0537
159297,0.0,0.0803
159295,0.0,0.0531
159302,0.0,0.0609
159294,0.0,0.0492
159299,0.0,0.0579
159296,0.0,0.0519
159300,0.0,0.0543
159301,0.0,0.0533
159303,0.0,0.0584
159298,0.0,0.0666
159295,0.0,0.0551
159297,0.0,0.0691
159302,0.0,0.0655
159294,0.0,0.0596
159296,0.0,0.0538
159299,0.0,0.0601
159300,0.0,0.0577
159301,0.0,0.0535
159303,0.0,0.0588
159298,0.0,0.0587
159295,0.0,0.0557
159297,0.0,0.0540
159302,0.0,0.0576
159296,0.0,0.0518
159301,0.0,0.0588
159300,0.0,0.0600
159299,0.0,0.0681
159294,0.0,0.0777
159298,0.0,0.0536
159295,0.0,0.0536
159297,0.0,0.0547
159303,0.0,0.0721
159302,0.0,0.0601
159296,0.0,0.0566
159301,0.0,0.0538
159300,0.0,0.0618
159294,0.0,0.0645
159297,0.0,0.0555
159295,0.0,0.0642
159303,0.0,0.0563
